KEGG_ID	SMILES
C00074	CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O
C00099	CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF
C00121	CC1C(O1)P(=O)([O-])[O-]
C00672	C1CN2CCC1C(=C(C3=CC=CC=C3)C4=CC=CC=C4)C2
C00051	CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CCOC(=O)NCC4=CC=CC=C4)O)C)C(=CC5CCC(C(C5)OC)O)C)O)C)OC)OC
C01401	CCCCCCCCC=CCCCCCCCCOCCOP(=O)(O)OCC[N+](C)(C)C
C00041	CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
C00092	CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
C00670	[Li+].[OH-]
C03114	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C
C16436	CCCC(=O)NCC(=O)NC1=CC(=CC=C1)I
C00183	C1(C2C(C(C(=O)O2)O)OC1O)O
C00700	CCNCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
C06701	CCCCCCCCCCCCCCCCN
C01413	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
C00022	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
C01755	CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O
C19609	C1=CC=C(C=C1)CC2(C3=CC=CC=C3C4=NC=CN42)C5=CC=C(C=C5)Cl
C06332	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[O-].[Na+]
C02291	CCCCCCCCCCCCCCCC(=O)OC(COC1C(C(C(C(O1)CS(=O)(=O)O)O)O)O)COC(=O)CCCCCCCCCCCCCC=CCC
C09306	C1=CC(=CC(=C1)Cl)OCC(=O)O
C05332	C1=CC=C(C=C1)CCOC=O
C11145	CC(=O)OC1CCC2C1(CCC3C2CCC4=C(C(=O)CCC34C)Cl)C
C04332	C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-]
C06423	COC1=CC=CC=C1C=O
C03722	C[Si]1(O[Si](O[Si](O[Si](O1)(C)C2=CC=CC=C2)(C)C3=CC=CC=C3)(C)C4=CC=CC=C4)C5=CC=CC=C5
C06257	C1=CC(=CC(=C1)C(=O)O)C(=O)O
C00178	CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
C19928	C1=CC=C2C(=C1)C(=NC3=C(N2)N=CC=C3)C4=CC=CC=C4F
C01487	COC1=CC=C(C=C1)CCN
C00032	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
C00001	CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
C00249	C1CC(CCNC1)SC2=CC=CC3=C2C=CN=C3
C00095	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C
C10906	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
C00446	CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O
C03384	CCN(CC)CCC(=O)OC1(CCCCC1)C2CCCCC2
C00093	CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
C00716	CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)CO
C00065	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
C00105	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
C00147	CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N
C00507	CC1=C(C(=C(C(=C1CONC(=O)C2=CC=CC=C2)C)C)Br)C
C00063	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
C00206	CC(=CC(=O)CC(C=O)C1C(CC2(C1(C(CC3C2=CCC4C3(CCC(C4(C)C(=O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C)C)O)C)CO)O)C
C00204	CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCC2=CN=CC=C2
C00385	C1=CC=C(C=C1)CCNN
C00719	CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O
C01762	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O
C00818	COC1=CC(=CC(=C1OC)OC)CCN
C01551	CCC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
C00177	CN1C(=O)C23CC4=CC=CC(C4N2C(=O)C1(SS3)CO)O
C01326	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4
C06156	C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=CC=CC=C4C=C3
C00070	CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O
C00038	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
C00106	CC1=CNN=C1
C01672	CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C
C00047	C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N
C01417	C1(=NC(=O)NC(=O)N1)C(=O)O
C01530	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
C00160	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC
C01487	COC1=CC=C(C=C1)CCN
C00270	COCC1=CC(=C(C(=C1C2=C(C(=C(C=C2COC)O)O)O)O)O)O
C00089	CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
C00092	CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
C00719	CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O
C00144	C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br
C00864	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
C05123	C1=CC=C(C=C1)NC2=CC(=CC=C2)Cl
C00020	CCCCCCCC=CCC#CC#CC(C=C)O
C00175	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
C00853	CCCCCC(C)(CC=CC=CC(=O)OC(C)C)OC
C00962	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
C00993	CCOC(=O)NC1=C[N+](=NO1)N2CCOCC2
C00067	C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N
C00299	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
C00712	C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4
C01419	CC1OC(CS1)C[N+](C)(C)C
C00989	C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
C00024	CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
C02385	C1(=C(C(=O)C(=C(C1=O)O)O)O)O
C00062	CCC(=O)C1=C(C=C(C=C1O)O)O
C00565	CCCCCCOC(=O)C1(CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C1(O2)C)CNC6=O)O
C01944	C1CCN(CC1)CC2=C(C=C3C4=C2C=CC=C4C(=O)N(C3=O)CCCCCC(=O)NC5=CC=CC=C5N)O
C01508	CC(C1C2CC(=C(N2C1=O)C(=O)O)SC3CCN(C3)C(=N)C)O
C00044	CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
C00185	C(CC=O)CC=O
C00049	C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl
C16433	CC(C)C(=O)NNC(=O)CNC(=O)C1CC1
C00794	CC1=CN=C(S1)NC(=C2C(=O)C3=CC=CC=C3S(=O)(=O)N2C)O
C02385	C1(=C(C(=O)C(=C(C1=O)O)O)O)O
C00062	CCC(=O)C1=C(C=C(C=C1O)O)O
C00330	CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N
C00315	C1=CC(=C(C=C1C(CNCCCCCCNCC(C2=CC(=C(C=C2)O)O)O)O)O)O
C00493	CC(C)O
C00130	CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
C00898	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C=CC(=O)NO)OC
C00479	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
C00007	CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4
C00712	C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4
C00042	C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
C00984	C1=CC(=CC=C1C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=C(C=C7)C(=O)O)C8=CC=C(C=C8)C(=O)O)C=C4)C9=CC=C(C=C9)C(=O)O)[N-]3)C(=O)O.[Mn+3]
C00124	CC1=C(NC(=C1C(=O)C2=CC=CC=C2CC3=CC=CC=C3)C)C
C00166	C1=CC(=CC=C1C2=COC3=CC(=O)C=C(C3=C2O)O)O
C00447	CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O
C02013	C1CN(C(=O)C1NS(=O)(=O)C2=CC3=C(S2)C=CC=N3)CC4=CC5=C(N4)C=NC=C5
C02052	CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
C00314	CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
C00855	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
C00095	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C
C10906	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
C00022	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
C00364	C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O
C01478	C1=CC(=O)C=CC1=O
C11215	C1=CC=NC(=C1)C=NO
C01132	CC(C(=O)O)NC(=O)C(CCSC)NC=O
C00770	CC1(C2CCC(C2)C1(C)NC)C
C01835	CCCCCC(C=CC1=C(C(=O)CC1)CCCCCCC(=O)O)O
C00793	CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)[O-].[Na+]
C00548	C(C1C(C(C(C2N1C(=O)C(=O)N2)O)O)O)O
C07086	CC(C)C(CC=C)C(=O)N
C01563	CC(=CCCC(=CCCC(C)(C=C)C1=CC(=C(C=C1)O)OC2=CC(=CC(=C2O)O)C(C)(CCC=C(C)CCC=C(C)C)C=C)C)C
C00440	CC(C)NC(C)CC1=CC=C(C=C1)I
C11457	CCC1=NC(=NC(=N1)N)N
C06701	CCCCCCCCCCCCCCCCN
C00003	CC(O)(P(=O)(O)O)P(=O)(O)O
C01330	C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F
C00577	CC1=NC=C(C(=C1O)CNC(C=COCCN)C(=O)O)COP(=O)(O)O
C00170	CC1=CCCC(=CCC(CC1)C(=C)C)C
